PetType,Breed,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,target,AgeYears
Cat,Persian,Black,Small,10.069492369463603,1,1,89,482,1,0,9.42
Bird,Parakeet,White,Medium,3.753655775131599,1,0,17,104,1,1,4.92
Rabbit,Rabbit,White,Medium,4.076661608774366,0,0,9,128,0,0,13.67
Dog,Golden Retriever,Orange,Large,29.142717917638823,1,0,57,237,0,0,12.83
Bird,Parakeet,Black,Small,9.420494675633748,1,0,73,62,1,1,0.83
Rabbit,Rabbit,White,Large,9.101010537005571,0,1,48,62,1,0,9.0
Bird,Parakeet,White,Large,15.967909335560435,0,0,20,393,1,0,13.08
Cat,Siamese,White,Large,10.324457256311884,1,0,46,193,1,0,12.17
Dog,Poodle,Gray,Small,1.701975288253365,0,0,67,265,0,0,9.92
Bird,Parakeet,Orange,Large,18.967478518581128,0,0,3,327,0,0,10.0
Bird,Parakeet,White,Small,27.08841724813384,1,0,1,94,0,0,6.33
Cat,Persian,Gray,Small,16.845323549140346,0,0,31,299,0,0,9.58
Rabbit,Rabbit,Brown,Large,12.830915463966068,1,0,23,134,0,1,0.5
Cat,Siamese,Gray,Medium,21.36254619071021,1,1,1,9,0,1,1.83
Rabbit,Rabbit,Brown,Large,26.2494725782153,1,0,75,88,0,0,7.33
Dog,Labrador,Black,Medium,7.1780242754546615,0,0,79,333,1,1,8.83
Bird,Parakeet,Gray,Large,16.86482673663482,1,1,59,110,0,0,9.42
Cat,Siamese,Orange,Large,29.730664200070045,0,0,47,106,0,1,2.0
Dog,Poodle,Gray,Medium,19.94096526546381,0,0,55,54,0,0,14.33
Cat,Persian,Orange,Large,17.5772031074738,1,0,52,322,0,0,10.33
Rabbit,Rabbit,Gray,Medium,13.53418243996568,1,0,59,219,0,0,1.25
Cat,Siamese,White,Small,9.09517986344683,1,1,57,88,0,0,5.0
Bird,Parakeet,Brown,Large,19.106808239784694,1,0,4,266,0,0,5.17
Dog,Poodle,Black,Small,10.889584995424984,0,0,46,130,0,0,9.42
Bird,Parakeet,White,Small,3.339423254344144,0,0,61,217,1,0,8.08
Cat,Siamese,Orange,Small,22.96532799782642,1,0,26,134,1,0,14.92
Rabbit,Rabbit,Orange,Medium,1.8285566139963023,1,1,18,198,1,0,9.25
Cat,Persian,Gray,Large,15.264166835598996,1,0,61,158,0,0,7.33
Dog,Poodle,Gray,Small,18.45745923625912,1,0,59,258,0,0,3.67
Dog,Golden Retriever,Gray,Medium,9.40653970648193,0,0,19,67,0,1,2.58
Dog,Labrador,Gray,Large,10.837882875337144,0,0,80,476,0,0,13.0
Dog,Labrador,Orange,Medium,12.295964752416852,0,0,65,305,1,1,4.33
Dog,Golden Retriever,Gray,Medium,17.143779527770853,1,0,34,364,0,1,2.25
Bird,Parakeet,Gray,Medium,19.836745799506154,1,0,24,41,0,1,6.58
Dog,Labrador,Gray,Medium,18.616680863348503,1,1,34,240,1,1,9.08
Cat,Persian,White,Large,24.36458599223842,1,0,74,342,0,0,9.08
Rabbit,Rabbit,White,Small,15.50842504166721,1,0,8,178,1,0,11.25
Rabbit,Rabbit,Brown,Large,28.646174793827857,0,1,67,209,0,0,2.92
Bird,Parakeet,Gray,Medium,20.18198668177993,1,0,58,51,1,0,12.42
Dog,Labrador,Gray,Large,27.595226604624585,1,0,88,88,0,1,11.75
Dog,Golden Retriever,Gray,Small,16.928786307104836,0,0,40,122,0,0,6.75
Rabbit,Rabbit,Black,Large,15.330570503002328,1,1,84,40,0,1,8.0
Bird,Parakeet,Orange,Large,21.205889633126727,0,0,37,238,0,0,3.17
Bird,Parakeet,Gray,Small,28.03174389363893,1,0,31,246,1,1,1.58
Cat,Siamese,White,Medium,15.160979641949508,1,1,2,464,0,0,2.0
Rabbit,Rabbit,White,Small,1.3888741622915703,0,0,30,421,0,0,13.0
Rabbit,Rabbit,Orange,Small,20.25695796022821,1,0,86,62,0,0,4.5
Dog,Golden Retriever,Orange,Small,21.473572715473736,0,0,32,176,0,0,0.42
Rabbit,Rabbit,Black,Small,24.635444183608296,0,0,75,69,0,0,8.67
Rabbit,Rabbit,White,Medium,13.320027462130115,1,1,65,205,0,0,2.83
Bird,Parakeet,White,Small,2.6883078501848496,1,0,34,90,0,0,7.17
Bird,Parakeet,Orange,Small,5.010212028737684,0,0,14,144,1,0,3.17
Cat,Siamese,Orange,Medium,15.763373028427662,1,0,85,208,1,1,1.08
Bird,Parakeet,Black,Small,5.456839938410158,1,0,5,370,0,0,12.0
Cat,Siamese,Orange,Small,22.16334483563676,1,1,20,320,0,0,12.0
Cat,Siamese,White,Small,8.957939909010879,1,0,54,210,0,0,9.75
Bird,Parakeet,Black,Small,2.40140785680651,0,1,36,195,0,0,11.17
Rabbit,Rabbit,Brown,Small,4.7269543848793765,1,1,59,150,0,0,10.33
Bird,Parakeet,Orange,Medium,15.516845794000664,1,0,63,259,0,1,4.58
Rabbit,Rabbit,Black,Medium,24.502660982853133,0,1,54,121,1,0,2.08
Dog,Golden Retriever,White,Large,17.809341287852728,0,0,83,455,0,0,11.75
Cat,Persian,Orange,Medium,14.713500344105809,0,0,75,396,1,0,2.17
Dog,Poodle,White,Medium,10.479904628612587,1,1,45,136,0,0,9.08
Cat,Siamese,Black,Small,21.247041960732247,1,0,36,354,0,0,10.33
Cat,Persian,Orange,Small,22.082359666324496,1,0,54,182,0,1,1.42
Rabbit,Rabbit,Black,Medium,2.598179558279336,0,0,71,473,1,0,11.75
Dog,Poodle,Gray,Small,15.752066281151905,1,1,74,287,0,0,9.0
Dog,Poodle,Brown,Medium,23.336634203846327,1,0,63,359,0,1,2.33
Rabbit,Rabbit,Gray,Small,8.947206101424,0,0,49,33,0,0,1.0
Rabbit,Rabbit,Gray,Medium,26.17788919759039,1,0,63,99,0,1,13.08
Rabbit,Rabbit,Orange,Large,22.62322164309456,1,0,14,227,0,0,5.25
Dog,Labrador,Brown,Large,10.12934670869648,1,0,15,420,0,1,5.67
Dog,Golden Retriever,Brown,Medium,16.55924264341,0,0,22,340,1,0,3.92
Bird,Parakeet,White,Medium,21.166909458122007,1,1,15,29,1,0,14.92
Bird,Parakeet,Gray,Medium,16.010384486560426,1,0,57,57,1,1,6.08
Dog,Golden Retriever,White,Large,9.228619788853225,1,0,17,46,1,0,8.25
Cat,Persian,Orange,Large,24.80436686444068,1,0,17,416,0,0,14.58
Dog,Golden Retriever,White,Medium,6.139236649484968,1,1,10,427,0,0,5.42
Dog,Poodle,Brown,Small,12.950800492535324,1,0,68,408,0,0,10.33
Rabbit,Rabbit,Gray,Large,25.78557620014364,1,1,39,430,0,0,12.67
Dog,Labrador,Gray,Large,15.57627335301635,1,0,50,369,1,1,0.25
Rabbit,Rabbit,Brown,Medium,25.892712794870096,0,0,51,135,1,0,6.08
Rabbit,Rabbit,Brown,Medium,25.378346699754637,1,0,51,218,0,1,5.42
Cat,Persian,Black,Small,21.88294798163509,1,0,6,331,0,0,11.08
Rabbit,Rabbit,Gray,Large,16.525755306513435,1,0,74,471,1,0,9.08
Dog,Golden Retriever,Brown,Small,2.6051438873247603,1,0,88,163,0,0,7.75
Cat,Persian,Black,Large,25.90380874266633,0,0,49,306,0,0,0.83
Cat,Siamese,Brown,Medium,3.7561669788969634,1,0,74,285,0,0,11.0
Dog,Golden Retriever,Gray,Medium,24.09228480534123,0,0,74,95,0,0,4.5
Bird,Parakeet,Brown,Small,29.52822376591317,1,1,22,48,1,0,3.08
Cat,Siamese,White,Medium,8.894975732675295,1,0,42,405,0,1,2.42
Rabbit,Rabbit,Orange,Medium,8.750501869264792,1,0,74,211,0,1,4.17
Rabbit,Rabbit,Brown,Small,24.265226197818308,1,0,67,16,1,0,5.5
Cat,Persian,Black,Small,2.83246009896097,0,1,61,443,1,0,7.58
Dog,Poodle,Orange,Medium,1.7209259615580308,1,0,42,309,0,1,10.75
Rabbit,Rabbit,Brown,Medium,19.663710459454784,1,0,66,76,1,1,9.42
Bird,Parakeet,Black,Large,23.20075772098688,0,0,69,31,1,0,3.67
Cat,Siamese,Black,Small,29.785333838868148,1,0,44,264,0,0,14.08
Bird,Parakeet,Brown,Large,2.037221047433122,1,0,38,488,0,1,14.92
Cat,Siamese,Gray,Small,10.252273966311414,0,0,58,39,0,0,4.08
Bird,Parakeet,Black,Medium,7.249872868885296,0,0,55,235,0,0,9.17
Dog,Poodle,White,Small,4.19499148735536,1,1,37,256,1,0,7.5
Rabbit,Rabbit,White,Small,21.91255992732822,1,0,79,70,0,1,1.58
Bird,Parakeet,Orange,Small,26.931282599880568,1,0,7,416,1,0,2.42
Bird,Parakeet,Black,Small,1.68416706564308,1,0,19,175,0,1,0.33
Rabbit,Rabbit,Brown,Small,27.51881015513281,1,0,7,6,0,0,13.0
Cat,Siamese,Orange,Medium,29.17397434732004,1,0,50,427,0,1,4.08
Rabbit,Rabbit,Brown,Small,22.00720432394329,0,0,19,305,1,0,1.92
Dog,Labrador,Gray,Medium,13.69174277707046,1,0,11,198,0,1,13.92
Bird,Parakeet,Brown,Medium,20.771779435865184,1,1,73,360,0,0,4.83
Rabbit,Rabbit,Orange,Medium,27.698215964612498,1,1,89,384,1,0,9.42
Cat,Persian,White,Medium,15.976885915181825,1,0,38,333,0,1,7.5
Bird,Parakeet,Black,Medium,5.970551057417821,1,0,69,335,0,1,12.58
Dog,Labrador,Black,Medium,10.793855192304296,1,0,45,60,0,1,0.17
Dog,Poodle,Gray,Medium,29.146085451126385,1,0,81,244,0,1,10.58
Cat,Siamese,Orange,Large,7.252683192048298,1,0,3,137,0,1,1.08
Bird,Parakeet,Brown,Small,15.233498736773242,0,0,67,406,1,0,12.67
Dog,Labrador,Gray,Large,5.416417164962002,0,0,69,77,0,0,4.17
Bird,Parakeet,Black,Small,1.5813339864443765,1,0,15,461,0,0,2.58
Rabbit,Rabbit,Brown,Small,9.232467266130683,1,0,16,113,0,0,2.67
Cat,Persian,White,Medium,15.865546537626052,0,0,48,17,0,0,8.17
Cat,Persian,White,Large,25.06117484809485,1,0,45,277,0,0,9.25
Rabbit,Rabbit,Black,Large,13.867341963860367,1,0,75,292,0,0,7.5
Cat,Persian,Orange,Medium,27.19674418915845,1,0,10,64,0,1,14.42
Bird,Parakeet,Orange,Large,28.11959859892201,0,0,4,103,0,0,10.0
Cat,Siamese,Brown,Small,10.16413696312542,1,0,33,422,0,0,6.5
Bird,Parakeet,Gray,Medium,15.321626675534908,0,0,45,24,0,1,1.08
Dog,Poodle,White,Large,22.677876146891823,1,0,34,195,0,0,13.42
Dog,Golden Retriever,Orange,Large,7.681457073922368,1,1,82,330,0,0,3.92
Cat,Persian,Brown,Medium,1.1416495145873062,0,1,42,111,1,0,14.0
Cat,Persian,Gray,Medium,3.2904373816207197,1,0,1,473,1,1,0.17
Cat,Siamese,Orange,Small,16.592822130897915,1,1,15,303,0,0,3.83
Rabbit,Rabbit,Gray,Medium,11.83266859311457,0,0,72,298,0,0,11.33
Rabbit,Rabbit,White,Medium,11.331246943509624,0,0,20,179,0,0,8.17
Bird,Parakeet,Brown,Large,26.584817349602183,1,0,22,283,0,0,12.33
Bird,Parakeet,Gray,Large,29.79035860886928,1,0,3,208,0,0,9.92
Rabbit,Rabbit,White,Large,28.29522612949988,1,0,38,196,1,0,12.08
Bird,Parakeet,Gray,Large,7.937473196309881,0,0,4,165,0,1,2.83
Rabbit,Rabbit,Gray,Medium,24.74365750114156,0,0,76,493,0,0,7.08
Bird,Parakeet,Gray,Large,1.5330487034820195,0,0,4,112,0,0,7.75
Dog,Poodle,Gray,Small,17.56865714418593,1,0,62,314,0,0,10.92
Rabbit,Rabbit,Brown,Medium,5.615613435821065,1,1,63,183,1,0,11.08
Bird,Parakeet,Black,Small,5.315452721027104,1,0,33,217,0,0,9.25
Dog,Golden Retriever,Gray,Small,17.23981647244318,0,1,15,353,0,0,6.25
Bird,Parakeet,Brown,Large,3.2932046083227955,1,0,67,423,0,0,2.5
Bird,Parakeet,Black,Small,11.403083566836864,1,0,43,102,0,0,7.17
Dog,Labrador,White,Small,3.667550809453198,1,0,30,115,1,1,7.58
Rabbit,Rabbit,Black,Large,12.330112575927515,1,0,77,165,0,0,4.83
Rabbit,Rabbit,Black,Large,21.9375112615977,1,1,57,111,0,0,8.83
Dog,Labrador,Gray,Large,24.69301402143129,1,0,10,388,1,1,3.17
Rabbit,Rabbit,Orange,Large,18.391427988834906,1,0,53,491,0,1,4.0
Bird,Parakeet,White,Large,14.415698794452371,1,0,73,203,1,0,11.33
Dog,Golden Retriever,Black,Large,15.747295521433603,1,0,78,256,0,0,9.08
Rabbit,Rabbit,Orange,Large,22.817720161358665,1,0,49,132,1,0,8.92
Dog,Labrador,Black,Small,18.149199417543077,1,0,20,108,0,1,5.33
Bird,Parakeet,Orange,Small,26.773648987600573,1,0,88,140,0,0,7.17
Rabbit,Rabbit,White,Large,1.4214899227137296,0,0,88,163,0,0,12.08
Dog,Poodle,Orange,Small,16.31857162408755,1,1,67,390,0,1,7.17
Bird,Parakeet,Orange,Large,17.22888881369699,0,0,68,295,0,0,5.0
Cat,Siamese,Brown,Medium,17.069658737389954,1,0,10,210,0,1,4.17
Cat,Persian,Brown,Large,5.913249660704163,0,0,61,462,0,0,10.58
Dog,Poodle,White,Small,21.238067465212183,1,0,67,409,0,0,3.25
Bird,Parakeet,Gray,Large,25.87516022779485,1,0,69,283,1,0,5.0
Bird,Parakeet,Black,Small,11.70064076707494,1,0,25,234,0,0,7.5
Rabbit,Rabbit,Gray,Small,6.656586944854537,0,1,1,236,0,0,12.0
Dog,Labrador,White,Medium,14.661428155033834,1,1,79,296,1,0,14.08
Rabbit,Rabbit,Brown,Small,17.91936023917864,1,0,62,176,0,0,9.75
Rabbit,Rabbit,White,Medium,4.051367101906922,1,0,56,232,1,1,8.08
Dog,Poodle,Gray,Medium,6.665409864609643,1,0,56,253,0,1,14.0
Cat,Persian,Gray,Medium,28.09382395245243,1,0,12,271,0,1,1.42
Bird,Parakeet,Black,Small,20.997908900463663,1,0,35,477,0,0,13.58
Bird,Parakeet,Gray,Medium,17.98127751142596,0,0,15,289,1,1,1.0
Dog,Labrador,Gray,Medium,15.601891827641902,1,0,65,430,0,1,12.42
Dog,Poodle,White,Small,14.71194312199277,0,1,64,215,0,1,12.17
Cat,Persian,Orange,Small,9.001920640551825,1,0,48,28,0,0,14.92
Rabbit,Rabbit,Brown,Small,5.536380645826953,0,1,55,223,0,0,11.58
Rabbit,Rabbit,Orange,Large,15.00734381090298,1,0,49,89,0,0,13.5
Bird,Parakeet,Gray,Medium,18.71122160969398,1,0,11,367,1,1,13.0
Rabbit,Rabbit,Brown,Medium,6.508050220680415,0,0,63,80,0,0,7.42
Cat,Persian,White,Large,8.57610884115389,1,0,76,64,1,0,6.92
Bird,Parakeet,Black,Small,12.084882280420253,0,0,34,212,0,0,11.33
Dog,Labrador,Orange,Large,1.2836020288670942,1,0,21,416,0,1,0.67
Cat,Siamese,White,Medium,17.72961497433143,1,1,62,464,0,0,11.17
Rabbit,Rabbit,Gray,Medium,23.304124561711674,1,0,6,465,0,1,4.75
Cat,Siamese,Black,Medium,23.60703319506259,0,1,10,210,0,0,14.92
Dog,Poodle,Orange,Large,27.713719364141923,1,0,23,191,1,0,8.67
Bird,Parakeet,Orange,Large,8.388260003529982,1,0,61,300,0,0,9.25
Bird,Parakeet,White,Large,23.421863060661806,1,0,27,325,1,0,11.92
Cat,Persian,Gray,Small,7.914388189651025,1,0,14,39,0,0,13.75
Dog,Poodle,Orange,Medium,19.341693869932843,0,0,14,340,1,0,11.0
Dog,Poodle,Gray,Medium,22.06840564378526,1,1,55,49,0,0,12.83
Cat,Persian,Orange,Medium,12.928578419605866,1,1,20,142,1,0,10.5
Cat,Persian,White,Small,20.01325295131521,1,0,44,169,0,0,6.42
Dog,Labrador,Gray,Small,3.867326937216889,0,0,70,226,1,0,13.83
Bird,Parakeet,Orange,Medium,10.752934737998745,1,0,72,368,1,1,1.67
Dog,Labrador,Black,Large,11.5202468609868,1,0,77,360,0,1,13.0
Dog,Poodle,White,Small,6.071634149651016,1,0,7,9,0,0,10.33
Rabbit,Rabbit,Brown,Medium,23.500296396779675,1,0,48,87,1,1,11.33
Dog,Golden Retriever,White,Medium,20.750453240182917,1,1,77,63,0,1,1.25
Cat,Persian,White,Small,3.271484599327335,0,0,1,362,0,0,13.58
Rabbit,Rabbit,White,Small,6.558468246077956,1,0,3,204,0,0,12.5
Dog,Labrador,Orange,Small,25.68657385349975,1,0,53,125,0,1,1.75
Dog,Labrador,Brown,Medium,16.776868993542692,1,0,42,448,1,1,13.5
Rabbit,Rabbit,Brown,Small,8.026506546813529,1,0,54,258,0,0,9.0
Dog,Golden Retriever,Orange,Medium,2.0762862789067658,0,0,85,385,0,0,11.33
Dog,Labrador,White,Medium,29.47501706102212,1,0,44,383,0,1,3.92
Rabbit,Rabbit,Brown,Large,25.797273193120954,1,0,86,213,0,0,5.67
Rabbit,Rabbit,Gray,Small,13.009813922793851,1,0,57,213,0,0,2.5
Dog,Golden Retriever,Brown,Small,2.4632115479835885,1,0,46,385,1,0,2.92
Rabbit,Rabbit,White,Small,13.042581689611795,1,1,2,373,0,0,9.17
Cat,Persian,White,Small,16.528646663148805,1,0,43,190,1,0,6.92
Cat,Siamese,White,Medium,7.889240422465326,1,0,39,296,0,1,10.42
Cat,Persian,White,Large,3.099292549665,1,0,81,292,0,0,11.33
Cat,Persian,Gray,Large,12.118248045327956,1,1,11,485,0,0,13.5
Cat,Siamese,Gray,Small,28.695664668738388,1,1,4,239,1,0,6.0
Bird,Parakeet,Black,Large,14.399140942347112,1,0,6,109,0,0,3.0
Dog,Golden Retriever,Gray,Medium,7.392698661885805,1,0,74,145,0,1,6.83
Rabbit,Rabbit,Black,Small,7.095567092846545,1,0,77,135,1,0,3.0
Dog,Poodle,White,Small,9.740362077224418,0,0,13,371,0,0,1.5
Dog,Poodle,Gray,Large,13.82772828345625,1,0,78,314,0,0,7.42
Rabbit,Rabbit,Orange,Small,25.23066651176752,0,1,37,296,1,0,12.42
Dog,Labrador,Black,Medium,19.33155042502167,1,1,76,431,0,1,0.83
Bird,Parakeet,Gray,Small,25.498960398111432,1,0,19,487,0,0,11.42
Bird,Parakeet,White,Medium,9.296607738906555,0,0,9,6,0,0,14.08
Bird,Parakeet,Brown,Medium,14.629374605076038,0,0,50,298,0,0,2.17
Bird,Parakeet,White,Medium,11.442889292681285,0,0,5,370,0,0,2.83
Rabbit,Rabbit,Gray,Small,7.625675701593687,1,0,56,47,0,0,2.08
Bird,Parakeet,Orange,Small,29.22763041841633,0,1,27,13,0,0,7.5
Cat,Persian,Black,Medium,3.861871605037698,0,0,13,329,0,0,11.83
Dog,Labrador,Orange,Medium,4.259192036454249,1,0,42,333,0,1,5.75
Bird,Parakeet,Gray,Small,9.865361938504169,1,0,59,308,0,1,1.67
Dog,Labrador,Black,Medium,7.411075031605763,1,0,55,313,0,1,11.58
Rabbit,Rabbit,Orange,Medium,18.47079218598184,0,0,40,43,0,0,10.42
Rabbit,Rabbit,Black,Large,23.110891136233903,1,0,25,51,0,1,1.83
Bird,Parakeet,White,Large,1.232236079539703,0,0,8,398,1,0,4.5
Cat,Siamese,Brown,Small,13.362633804699351,0,0,68,242,0,0,12.5
Rabbit,Rabbit,Gray,Large,20.49809976164308,0,0,28,14,1,0,10.25
Bird,Parakeet,Gray,Large,29.872952729058493,0,0,46,402,0,0,9.67
Dog,Labrador,Brown,Small,15.60497820123444,1,0,15,337,0,1,5.42
Dog,Poodle,Black,Large,22.68031671488383,1,1,26,379,0,0,4.83
Cat,Persian,Orange,Small,20.220786249566245,1,0,38,270,0,0,4.08
Rabbit,Rabbit,Orange,Small,26.7738220287579,1,0,28,282,1,1,1.75
Cat,Persian,Orange,Medium,16.12964223964063,1,0,32,228,0,1,10.75
Bird,Parakeet,White,Medium,19.427409700386185,1,0,1,122,0,1,9.83
Cat,Siamese,Black,Large,20.59367785208177,0,1,79,261,1,0,1.0
Bird,Parakeet,White,Small,15.993182213081552,0,0,53,374,0,0,0.67
Rabbit,Rabbit,Black,Large,8.779260408747012,1,0,65,326,0,0,9.0
Bird,Parakeet,White,Medium,29.843231429436266,1,1,34,194,0,0,13.75
Dog,Poodle,Brown,Large,28.92385739116309,1,0,20,355,1,0,5.75
Bird,Parakeet,White,Large,9.520039648975498,0,0,50,92,1,0,10.33
Bird,Parakeet,Brown,Small,27.615406922338742,0,0,46,237,0,0,11.17
Dog,Golden Retriever,Brown,Large,5.28772069800913,1,0,4,76,1,0,14.33
Rabbit,Rabbit,White,Medium,3.322595780463676,0,1,48,466,1,0,6.83
Dog,Poodle,Brown,Small,2.163613987569275,1,1,21,281,1,0,2.33
Dog,Poodle,Gray,Medium,29.70236133365586,1,0,8,217,1,1,6.83
Dog,Labrador,Black,Medium,9.634870456495086,1,0,59,133,1,0,5.67
Bird,Parakeet,Gray,Small,14.834398530201284,1,0,21,220,0,0,12.25
Bird,Parakeet,White,Small,18.215808968113464,1,0,83,301,0,0,13.75
Rabbit,Rabbit,Orange,Small,19.282110933059275,1,1,44,148,0,0,3.08
Cat,Siamese,Brown,Small,10.952041859011224,0,0,88,129,1,0,12.83
Dog,Golden Retriever,Brown,Large,14.051505986062873,1,0,29,384,1,0,6.08
Dog,Labrador,White,Medium,26.770621301259,0,1,8,142,0,1,1.0
Rabbit,Rabbit,Black,Small,21.615935583355707,1,0,22,325,0,0,8.08
Bird,Parakeet,Black,Large,15.279651016925737,1,0,31,481,0,0,5.33
Rabbit,Rabbit,Brown,Small,10.345551420765055,1,0,89,373,1,0,2.42
Bird,Parakeet,Orange,Medium,3.7208342994678514,1,0,28,447,0,0,7.33
Bird,Parakeet,Brown,Large,19.22777689548697,1,0,9,205,0,1,13.5
Cat,Siamese,White,Large,12.677465039365938,1,0,23,111,1,0,11.83
Dog,Golden Retriever,Orange,Large,14.88070124596522,0,0,37,14,1,0,6.75
Rabbit,Rabbit,Brown,Large,18.597970344068905,1,0,21,60,0,0,13.17
Rabbit,Rabbit,Orange,Large,14.576116314251337,0,0,34,422,0,0,8.83
Rabbit,Rabbit,Gray,Medium,28.05036711727675,1,0,8,60,0,1,1.0
Rabbit,Rabbit,White,Large,16.94317198671458,1,0,49,202,0,0,14.83
Dog,Golden Retriever,Orange,Medium,23.18148607256559,1,0,84,90,0,1,9.0
Bird,Parakeet,Brown,Medium,4.432504607687642,1,0,69,403,1,0,10.5
Cat,Persian,Brown,Small,13.925061917155649,0,1,72,112,1,0,2.92
Dog,Labrador,Black,Small,2.019552769406541,0,0,21,104,0,0,11.08
Dog,Labrador,Black,Large,26.60187171767632,1,0,23,179,0,1,12.75
Dog,Labrador,Brown,Large,11.228042484922304,1,0,31,455,1,1,6.33
Bird,Parakeet,Orange,Large,8.522592425253762,1,0,1,213,0,0,12.92
Dog,Labrador,Orange,Medium,1.7966463128765606,0,1,47,457,0,1,1.42
Rabbit,Rabbit,Orange,Medium,4.047828956195511,1,0,87,252,0,1,9.67
Bird,Parakeet,Gray,Small,1.952844234471494,1,0,82,397,0,0,3.75
Dog,Labrador,Gray,Small,17.06512854646997,1,0,39,120,1,1,6.83
Rabbit,Rabbit,Brown,Large,26.823617645532806,1,0,16,437,0,1,1.33
Dog,Golden Retriever,White,Large,14.4429911186744,1,0,12,30,0,0,12.67
Bird,Parakeet,Orange,Medium,4.352562707733854,1,0,1,295,0,1,3.17
Bird,Parakeet,Black,Small,23.381705232982085,1,0,65,338,0,0,7.67
Bird,Parakeet,Gray,Small,4.39250834517247,0,1,32,216,0,0,12.58
Rabbit,Rabbit,Gray,Medium,1.1472855762960892,1,0,84,411,1,1,10.42
Dog,Poodle,Orange,Large,25.662455142688916,0,0,18,76,1,0,13.92
Cat,Siamese,White,Small,5.074711790149205,1,0,36,335,0,0,9.25
Bird,Parakeet,Orange,Medium,21.70312706850134,1,1,25,279,0,1,0.08
Cat,Persian,Black,Medium,8.559579574477214,0,1,6,118,0,0,9.83
Bird,Parakeet,Orange,Large,18.71494242198866,1,0,15,209,0,1,12.42
Rabbit,Rabbit,White,Medium,29.494788766773933,0,0,63,334,0,0,11.58
Rabbit,Rabbit,Gray,Medium,6.311916295420486,1,0,8,270,0,1,8.17
Rabbit,Rabbit,Gray,Small,9.255945084783878,1,1,74,305,0,0,8.0
Dog,Poodle,Brown,Medium,18.43164385449278,1,0,67,190,1,1,9.92
Bird,Parakeet,Gray,Medium,4.082076835545538,0,0,68,191,1,0,6.33
Dog,Golden Retriever,Black,Large,8.213036419928114,1,0,66,458,1,0,14.0
Dog,Labrador,Black,Small,14.144756361895618,1,1,39,161,1,0,12.83
Rabbit,Rabbit,Gray,Large,5.712953697956345,1,0,15,416,0,0,14.42
Cat,Persian,Orange,Small,16.055728147661675,1,0,1,82,0,0,4.33
Bird,Parakeet,White,Small,25.762113812230904,0,0,43,172,1,0,11.42
Bird,Parakeet,White,Small,19.19210997329761,1,0,56,302,1,0,13.58
Bird,Parakeet,Orange,Small,28.363041223832877,1,0,84,466,0,0,7.58
Cat,Persian,Black,Large,18.87097883058776,0,1,47,396,1,0,7.08
Cat,Siamese,Orange,Small,9.64314063073908,1,1,31,57,0,0,6.58
Cat,Siamese,White,Large,17.364221550269527,0,1,14,423,1,0,11.42
Cat,Persian,Orange,Small,8.987467205544712,1,1,13,245,1,0,12.17
Dog,Golden Retriever,Gray,Medium,7.156047943279918,1,0,13,229,0,1,9.33
Rabbit,Rabbit,Orange,Medium,18.056167495158345,0,0,28,78,0,0,3.92
Dog,Poodle,Orange,Small,6.245361208334755,1,0,16,427,0,0,5.25
Dog,Labrador,Gray,Large,24.244644360853187,1,1,64,220,1,0,4.25
Bird,Parakeet,White,Small,17.296495189803938,1,0,41,449,0,0,10.5
Dog,Golden Retriever,White,Small,8.475576157915746,1,0,30,405,0,0,7.17
Dog,Labrador,Orange,Large,20.09358826593421,1,0,35,453,0,1,3.42
Bird,Parakeet,White,Medium,6.084692999928938,1,0,21,455,1,1,2.08
Dog,Poodle,White,Small,9.316239449178626,1,1,85,150,0,0,14.5
Bird,Parakeet,Black,Medium,19.101570113991844,1,0,68,96,0,1,4.42
Cat,Siamese,Black,Medium,28.85648755337962,1,0,22,387,0,1,8.5
Rabbit,Rabbit,Gray,Medium,29.892607323111548,1,0,60,230,0,1,8.42
Bird,Parakeet,White,Large,11.512782208341584,1,1,85,65,0,0,5.75
Bird,Parakeet,Brown,Small,6.091813551403873,0,1,72,253,0,0,9.0
Dog,Golden Retriever,White,Small,1.2933185181642384,1,0,30,317,1,0,10.67
Dog,Labrador,White,Small,24.47339716542163,1,0,51,119,0,1,10.92
Rabbit,Rabbit,Orange,Small,11.11724208155342,1,0,80,129,0,0,4.75
Cat,Siamese,Black,Small,9.010929307071162,0,1,54,146,0,0,9.83
Bird,Parakeet,Brown,Small,20.816464516204167,1,0,40,81,1,0,2.08
Bird,Parakeet,Orange,Large,25.60959000506461,0,0,17,416,0,0,3.25
Rabbit,Rabbit,Brown,Medium,1.1366603401449935,0,0,6,30,1,0,9.42
Dog,Golden Retriever,White,Large,28.16317783295575,1,1,2,441,0,0,6.33
Bird,Parakeet,Brown,Small,27.737636802990007,1,0,49,420,1,0,10.33
Dog,Poodle,White,Small,25.65498641094638,1,1,17,342,0,0,7.5
Bird,Parakeet,Brown,Large,11.999218360098793,1,0,46,340,1,0,7.25
Cat,Persian,White,Medium,24.288077662256683,1,0,63,499,0,1,0.33
Dog,Labrador,White,Large,8.627749236540737,1,1,4,473,1,1,1.17
Bird,Parakeet,Gray,Large,4.733668883395679,0,0,49,87,1,0,0.5
Rabbit,Rabbit,White,Small,10.534043699079048,0,0,12,191,0,0,2.75
